NAME,TYPE,LOCATION,
"Application Insights Smart Detection","Action group","Global"
"ASP-DisSoft2-a3e8","App Service plan","East US"
"ASP-Paymentapp-Premium","App Service plan","East US"
"Diseno2","Traffic Manager profile","Global"
"Failure Anomalies - Insight","Smart detector alert rule","Global"
"Failure Anomalies - Paymentapp","Smart detector alert rule","Global"
"Insight","Application Insights","Central US"
"PaymentApp","Static Web App","Central US"
"Paymentapp","Application Insights","East US"
"Paymentapp","Function App","East US"
"paymentlogin","Function App","East US"
"paymentsisserver","SQL server","East US"
"PaymentSys (paymentsisserver/PaymentSys)","SQL database","East US"
"storagepaymentsis","Storage account","East US"
